"Time","Line","tsNs","id","TraceID","_trace_id","compose_project","compose_service","container_name","filename","host","latitude","level","longitude","resource_service_name","service_name","source","span_id"
1727087278255,"2024-09-23 10:27:58,255 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 200, 'size': '30', 'user_agent': 'python-httpx/0.27.0'}",1727087278255987142,1727087278255987142_1e8d7088,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278239,"2024-09-23 10:27:58,238 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 200, 'size': '30', 'user_agent': 'python-httpx/0.27.0'}",1727087278239135210,1727087278239135210_8cd28aa7,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278223,"2024-09-23 10:27:58,223 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 200, 'size': '30', 'user_agent': 'python-httpx/0.27.0'}",1727087278223683230,1727087278223683230_2d02802f,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278207,"2024-09-23 10:27:58,207 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 200, 'size': '30', 'user_agent': 'python-httpx/0.27.0'}",1727087278207728159,1727087278207728159_3192b5d5,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278188,"2024-09-23 10:27:58,188 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 401, 'size': '32', 'user_agent': 'python-httpx/0.27.0'}",1727087278188791477,1727087278188791477_bc99f53a,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278170,"2024-09-23 10:27:58,169 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 200, 'size': '30', 'user_agent': 'python-httpx/0.27.0'}",1727087278170076401,1727087278170076401_5117faea,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278152,"2024-09-23 10:27:58,152 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 200, 'size': '30', 'user_agent': 'python-httpx/0.27.0'}",1727087278152866729,1727087278152866729_88d4e14,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278133,"2024-09-23 10:27:58,132 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 200, 'size': '30', 'user_agent': 'python-httpx/0.27.0'}",1727087278133168552,1727087278133168552_ae535a5e,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278115,"2024-09-23 10:27:58,115 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 200, 'size': '30', 'user_agent': 'python-httpx/0.27.0'}",1727087278115468602,1727087278115468602_6534a21b,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278097,"2024-09-23 10:27:58,097 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 200, 'size': '30', 'user_agent': 'python-httpx/0.27.0'}",1727087278097975336,1727087278097975336_2d172550,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
